epoch,step,train_loss,train_f1_mikro,val_loss,val_f1_mikro
0,49,0.6928722262382507,0.06033376231789589,,
0,99,0.692535400390625,0.0615779347717762,,
0,126,,,0.6922982931137085,0.05286262184381485
1,149,0.6916123628616333,0.06985769420862198,,
1,199,0.6917772889137268,0.051519155502319336,,
1,249,0.6915215849876404,0.05412541329860687,,
1,253,,,0.6914042234420776,0.05288812145590782
2,299,0.6912865042686462,0.05646749958395958,,
2,349,0.690714955329895,0.05090421810746193,,
2,380,,,0.6905477643013,0.0542142316699028
3,399,0.6904093623161316,0.06036217138171196,,
3,449,0.6900094151496887,0.05783456563949585,,
