epoch,step,train_loss,train_f1_mikro,val_loss,val_f1_mikro
0,49,0.6883569359779358,0.04973624646663666,,
0,99,0.687931478023529,0.048521608114242554,,
0,126,,,0.6875520944595337,0.045741789042949677
1,149,0.6874203681945801,0.04390612989664078,,
1,199,0.6866496205329895,0.058371737599372864,,
1,249,0.6866382360458374,0.047040972858667374,,
1,253,,,0.6863657236099243,0.048160821199417114
2,299,0.6862143278121948,0.04889228567481041,,
2,349,0.6859710216522217,0.06102212145924568,,
2,380,,,0.6853456497192383,0.04822354018688202
3,399,0.6848165988922119,0.072727270424366,,
3,449,0.6850837469100952,0.0629800334572792,,
3,499,0.6845065355300903,0.05267234519124031,,
3,507,,,0.6843348741531372,0.04962586611509323
4,549,0.6840709447860718,0.05817610025405884,,
4,599,0.6838176846504211,0.06677018851041794,,
4,634,,,0.6833710074424744,0.04972834140062332
